name,memory_mib,cpu_milli,gpu_milli,gpu_spec,qos,time,from,offload,to,start,end,run,complete_cpu,complete_size_cpu,complete_gpu,complete_size_gpu,off_start,off_end,offload_success,complete_offload
openb-pod-2997,32768,466720.0,29.169999999999998,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0286,64512,323648.4,173.0,-1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7833,22888,169800.0,45.28,1,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5722,41560,321179.4,32.739999999999995,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4954,47104,184574.0,100.75,-1,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0083,10600,456720.0,60.5,-1,2,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7843,49152,194360.0,172.0,-1,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0216,47104,110744.4,43.71,-1,1,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6252,64512,428413.2,22.9,2,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2895,48128,991800.0,87.0,-1,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7740,49152,745800.0,66.0,1,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7913,49152,594380.0,52.6,2,1,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5589,41560,578790.0,59.0,-1,1,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2763,16384,718200.0,55.062,-1,1,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3143,77824,125188.0,105.2,1,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5239,16384,739200.0,56.672000000000004,-1,1,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5183,49152,587600.0,52.0,-1,1,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4652,49152,480000.0,0.0,-1,2,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5905,77824,228000.0,200.0,-1,1,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1742,58368,345557.0,22.009999999999998,1,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7584,49152,587600.0,52.0,2,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1939,64512,145922.4,78.0,1,1,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3536,24576,162160.0,40.54,-1,1,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6128,24576,161800.0,40.45,-1,1,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6974,57344,980000.0,0.0,-1,1,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0839,15258,929200.0,74.336,2,2,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5248,58368,482800.0,34.0,-1,1,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2158,6144,584300.0,58.42999999999999,0,1,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3004,58368,989100.0,63.0,-1,1,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2641,30517,267720.0,21.4176,2,2,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0230,47104,432974.88,170.892,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2692,16384,544920.0,45.410000000000004,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4706,49152,922080.0,81.6,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0094,64512,129085.2,69.0,-1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7060,47104,654940.0,35.75,-1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0434,41560,105751.8,107.8,-1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2148,57344,444875.0,0.0,-1,1,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0052,15258,146840.0,117.47200000000001,-1,2,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3184,58368,807137.0,51.410000000000004,2,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5788,24576,167136.0,139.28,1,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1078,32768,549440.0,34.339999999999996,-1,1,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4840,49152,936770.0,82.9,-1,1,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5728,41560,431640.0,44.0,1,1,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4079,32768,223200.0,186.0,-1,1,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5658,24576,166440.0,41.61,0,1,1,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5163,32768,577760.0,36.11,1,1,1,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3086,16384,908800.0,113.6,-1,1,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0279,30517,815200.0,23.436999999999998,-1,2,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6071,58368,136021.8,95.78999999999999,-1,1,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1425,32768,456160.0,57.02,-1,1,1,21,0,21,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2528,22888,382800.0,30.624000000000002,-1,2,1,21,0,21,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5656,41560,180994.5,184.5,0,1,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5728,41560,431640.0,44.0,-1,1,1,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1582,58368,543691.0,34.63,1,1,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3039,48128,109440.0,96.0,-1,1,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2501,8192,116097.6,89.00816,-1,1,1,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2640,30517,180240.0,144.192,-1,2,1,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5323,49152,227469.0,20.130000000000003,-1,1,1,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7601,49152,378550.0,33.5,-1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2259,15258,121200.0,66.66,0,2,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1222,32768,187120.0,23.39,1,1,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5547,49152,629410.0,55.7,-1,1,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2458,16384,790800.0,65.9,0,1,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0790,57344,114750.0,0.0,-1,1,2,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2677,16384,153360.0,127.8,-1,1,2,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4605,48128,102144.0,89.6,-1,1,2,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0903,51200,380985.0,0.0,-1,1,2,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4876,47104,183264.12,100.035,2,1,2,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0740,48128,372894.0,32.71,-1,1,2,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0408,30517,433600.0,25.474,0,2,2,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0025,15258,149646.0,41.15265000000001,-1,1,2,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1876,16384,331200.0,41.4,1,3,2,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5068,2048,541600.0,173.31199999999998,-1,2,2,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3799,48128,684000.0,60.0,-1,1,2,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4359,41560,217683.9,22.19,2,1,2,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0762,24576,108732.0,90.61,-1,1,2,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6127,32768,337600.0,42.2,-1,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1798,58368,327031.0,20.830000000000002,1,1,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4682,49152,385330.0,34.1,-1,1,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3135,32768,108355.2,67.72200000000001,-1,1,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4909,49152,176506.0,156.2,-1,1,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3318,22888,660840.0,52.867200000000004,-1,2,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6401,30517,110288.0,44.1152,-1,2,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0547,16384,215920.0,26.99,-1,1,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6985,49152,124695.5,110.35,-1,1,3,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6173,49152,649750.0,57.5,-1,1,3,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6467,58368,178210.0,125.5,2,1,3,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4518,24576,136872.0,114.05999999999999,-1,1,3,18,0,18,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3166,24576,261360.0,21.78,-1,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0840,48128,447450.0,39.25,-1,1,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2595,49152,448000.0,0.0,-1,2,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6127,32768,337600.0,42.2,2,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3381,47104,172308.76,94.05499999999999,-1,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3725,6144,503400.0,38.594,-1,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7040,24576,221200.0,55.3,2,1,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5272,49152,491550.0,43.5,2,1,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7502,47104,141002.628,55.6527,2,1,4,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3387,47104,523952.0,28.6,-1,1,4,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4928,47104,912152.8,49.79,-1,1,4,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0897,12288,324000.0,24.84,-1,1,4,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3037,47104,631124.0,24.91,2,1,4,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6589,30517,148024.0,0.0,-1,2,4,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7094,47104,765684.4,41.795,-1,1,4,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7364,49152,892700.0,79.0,0,1,4,22,0,22,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5184,49152,261030.0,23.1,-1,1,4,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7257,47104,116103.0,63.375,2,1,4,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4585,47104,155042.16,84.63,0,1,4,24,0,24,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0705,48128,177612.0,155.8,2,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2124,57344,366250.0,0.0,-1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1879,30517,161040.0,0.0,-1,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6968,57344,115000.0,0.0,-1,1,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7713,49152,723200.0,64.0,-1,1,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6468,24576,164600.0,41.15,1,1,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7278,47104,487037.2,26.585,0,1,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2363,48128,638400.0,56.0,0,1,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7734,49152,734500.0,65.0,2,1,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2518,77824,298809.0,25.11,0,1,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3171,48128,774060.0,67.9,1,1,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0343,22888,816400.0,65.312,0,2,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6488,24576,135560.4,112.96700000000001,-1,1,5,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4896,49152,485900.0,43.0,1,1,5,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3599,49152,476800.0,0.0,-1,2,5,12,0,12,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0682,48128,394440.0,34.6,-1,1,5,13,0,13,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3630,15258,366000.0,21.044999999999998,-1,2,5,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3156,32768,185896.0,23.237,0,1,5,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7777,24576,187200.0,46.8,2,1,5,14,0,14,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2472,48128,141246.0,123.9,-1,1,5,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2490,58368,386220.0,24.6,1,1,5,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5406,15258,584000.0,23.36,0,2,5,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7673,49152,404540.0,35.8,-1,1,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4069,57344,153500.0,0.0,-1,1,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0
openb-pod-0147,16384,143920.0,179.9,-1,1,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2233,32768,105760.0,132.2,-1,1,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5840,48128,321252.0,28.18,0,1,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5922,48128,195852.0,171.8,-1,1,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-2519,22888,158480.0,126.78399999999999,-1,2,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3478,47104,119318.16,100.2,2,2,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-3182,58368,878572.0,55.96,-1,1,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5867,41560,294300.0,30.0,-1,1,6,8,0,8,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7555,77824,672600.0,59.0,-1,1,6,8,0,8,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7949,22888,105200.0,84.16,-1,2,6,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6562,57344,561250.0,0.0,-1,1,6,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4950,58368,925840.0,65.2,2,1,6,15,0,15,0,0,0,0,0,0,0,0,0,0,0
openb-pod-7172,47104,125986.63999999998,49.726,1,1,6,16,0,16,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6981,30517,126400.0,74.26,-1,2,6,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-6537,64512,860568.0,46.0,1,1,6,17,0,17,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1500,22888,931960.0,74.5568,-1,2,6,19,0,19,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5503,41560,310682.7,31.669999999999998,-1,1,6,19,0,19,0,0,0,0,0,0,0,0,0,0,0
openb-pod-1134,41560,368856.0,37.6,-1,1,6,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5248,58368,482800.0,34.0,2,1,6,20,0,20,0,0,0,0,0,0,0,0,0,0,0
openb-pod-5781,22888,487920.0,39.0336,-1,2,6,23,0,23,0,0,0,0,0,0,0,0,0,0,0
openb-pod-4382,47104,137775.56,75.205,1,1,6,23,0,23,0,0,0,0,0,0,0,0,0,0,0
