name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0000,12000,16384,1,1000,0.0,1,Running,0,12537496,0.0
openb-pod-0001,6000,12288,1,460,0.0,1,Running,427061,12902960,427061.0
openb-pod-0002,12000,24576,1,1000,0.0,1,Running,1558381,12902960,1558381.0
openb-pod-0003,6000,12288,1,460,0.0,1,Running,2690044,12902960,2690044.0
openb-pod-0004,12000,16384,1,1000,0.0,1,Running,2758084,12902960,2758084.0
openb-pod-0005,20000,65536,0,0,0.0,1,Running,2759674,12902960,2759676.0
openb-pod-0006,4000,16384,1,1000,0.0,1,Running,3019330,11815163,3019331.0
openb-pod-0007,12000,16384,1,1000,0.0,1,Running,3019932,12902960,3019932.0
openb-pod-0008,12000,16384,1,1000,0.0,1,Running,4130198,12902960,4130198.0
openb-pod-0009,12000,16384,1,1000,0.0,1,Running,4975773,12902960,4975773.0
openb-pod-0010,16000,49152,1,1000,0.0,1,Running,5182092,10004145,5182096.0
openb-pod-0011,6000,8192,1,460,0.0,1,Running,6394537,12902960,6394537.0
openb-pod-0012,8000,32768,1,1000,0.0,1,Running,6588193,10959245,6595531.0
openb-pod-0013,8000,16384,1,1000,0.0,1,Running,6976821,10650110,6976823.0
openb-pod-0014,16000,65536,1,1000,0.0,1,Running,8387257,11410890,8387291.0
openb-pod-0015,16000,49152,1,1000,0.0,1,Running,8396307,12902960,8396310.0
openb-pod-0016,32000,65536,0,0,0.0,1,Running,8962274,12902960,8962277.0
openb-pod-0017,88000,327680,8,1000,0.0,3,Succeeded,9437497,10769854,9437497.0
openb-pod-0018,6000,6144,1,460,0.0,1,Running,9476974,12902960,9476974.0
openb-pod-0020,8000,30517,1,470,0.0,1,Running,9664123,12902960,9664124.0
openb-pod-0021,8000,30517,1,440,0.0,1,Running,9671707,12902960,9671708.0
openb-pod-0022,4000,15258,1,220,0.0,2,Running,9679175,9973826,9679175.0
openb-pod-0023,12000,24576,1,1000,0.0,1,Running,9766837,12902960,9766837.0
openb-pod-0024,16000,49152,1,1000,0.0,1,Running,9818766,12902960,9818768.0
openb-pod-0025,4000,15258,1,110,0.0,1,Running,9823530,10197645,9823530.0
openb-pod-0026,16000,32768,1,1000,0.0,1,Running,9924220,9964972,9924222.0
openb-pod-0028,16000,32768,1,1000,0.0,1,Running,9949982,9978759,9949984.0
openb-pod-0029,4000,15258,1,220,0.0,2,Running,9955274,10027972,9955274.0
openb-pod-0030,16000,32768,1,1000,0.0,1,Running,9957349,9967333,9957351.0
openb-pod-0031,16000,32768,1,1000,0.0,1,Running,9961302,9994357,9961304.0
openb-pod-0032,6000,12288,1,460,0.0,1,Running,9963454,9978153,9963454.0
openb-pod-0034,16000,32768,1,1000,0.0,1,Running,9965619,9966774,9965621.0
openb-pod-0035,16000,32768,1,1000,0.0,1,Running,9967058,9968575,9967063.0
openb-pod-0038,4000,22888,1,480,0.0,2,Running,9973579,9973962,9973579.0
openb-pod-0039,4000,15258,1,50,0.0,2,Running,9973948,9981248,9973949.0
openb-pod-0040,8000,30517,1,230,0.0,2,Running,9974338,9981274,9974338.0
openb-pod-0043,6000,18432,1,460,0.0,1,Running,9980855,10002453,9980855.0
openb-pod-0048,8000,30517,0,0,0.0,2,Running,9992086,10013821,9992086.0
openb-pod-0049,8000,30517,0,0,0.0,2,Running,9992086,10013820,9992086.0
openb-pod-0050,8000,30517,0,0,0.0,2,Running,9992104,10013762,9992104.0
openb-pod-0051,4000,15258,1,320,0.0,2,Running,9993395,9997068,9993395.0
openb-pod-0052,4000,15258,1,320,0.0,2,Running,9993396,9997067,9993396.0
openb-pod-0053,12000,16384,1,1000,0.0,1,Running,9993753,10061253,9993753.0
openb-pod-0054,4000,24576,1,1000,0.0,1,Succeeded,9997763,10001500,9997763.0
openb-pod-0056,12000,49152,1,1000,0.0,1,Succeeded,9999740,9999855,9999740.0
openb-pod-0059,11908,47104,1,470,0.0,1,Running,10000836,10002563,10000838.0
openb-pod-0060,8000,30517,0,0,0.0,2,Running,10000884,10013817,10000885.0
openb-pod-0063,12000,24576,1,1000,0.0,1,Running,10001854,10043044,10002793.0
openb-pod-0064,16000,32768,1,1000,0.0,1,Running,10002519,10003360,10002522.0
openb-pod-0065,12000,16384,1,1000,0.0,1,Running,10002813,10004193,10003093.0
openb-pod-0071,18708,64512,1,1000,0.0,1,Running,10009222,10009356,10009256.0
openb-pod-0072,18708,64512,1,1000,0.0,1,Running,10011081,10011118,10011083.0
openb-pod-0074,16000,65536,1,1000,0.0,1,Running,10011398,10019079,10011400.0
openb-pod-0075,8000,16384,1,1000,0.0,1,Running,10011759,10012978,10011761.0
openb-pod-0076,16000,65536,1,1000,0.0,1,Running,10013436,10014656,10013712.0
openb-pod-0078,16000,32768,1,1000,0.0,1,Running,10013797,10015126,10014212.0
openb-pod-0079,8000,30517,1,320,0.0,2,Running,10014736,10015168,10014736.0
openb-pod-0080,6000,6144,1,460,0.0,1,Running,10014814,10015743,10014814.0
openb-pod-0081,4000,15258,1,320,0.0,2,Running,10014946,10015737,10014947.0
openb-pod-0082,8000,30517,1,650,0.0,2,Running,10015701,10015911,10015701.0
openb-pod-0083,4152,10600,1,550,0.0,2,Running,10015833,10015943,10015833.0
openb-pod-0087,11908,47104,1,1000,0.0,2,Running,10017643,10019780,10017677.0
openb-pod-0092,8000,30517,1,470,0.0,2,Running,10018598,10018814,10018599.0
openb-pod-0094,18708,64512,1,1000,0.0,1,Running,10019718,10019822,10019753.0
openb-pod-0098,8000,30517,1,320,0.0,2,Running,10020315,10020891,10020315.0
openb-pod-0102,12000,16384,1,1000,0.0,1,Running,10022793,10023874,10022794.0
openb-pod-0109,4000,15258,1,160,0.0,2,Running,10027236,10030850,10027236.0
openb-pod-0110,4000,15258,1,110,0.0,2,Running,10027236,10030850,10027236.0
openb-pod-0112,8000,30517,1,470,0.0,2,Running,10027539,10027644,10027572.0
openb-pod-0120,9810,41560,1,1000,0.0,1,Running,10032059,10032298,10032096.0
openb-pod-0124,12000,32768,1,1000,0.0,1,Running,10033656,10034855,10033656.0
openb-pod-0125,6000,6144,1,460,0.0,1,Running,10033713,10034312,10033713.0
openb-pod-0126,8000,30517,1,320,0.0,2,Running,10033926,10053351,10033926.0
openb-pod-0130,12000,15360,1,1000,0.0,1,Running,10036115,10036713,10036115.0
openb-pod-0137,4000,15258,1,220,0.0,2,Running,10038341,10038886,10038347.0
openb-pod-0138,8000,30517,1,470,0.0,2,Running,10039366,10039699,10039539.0
openb-pod-0139,8000,30517,1,470,0.0,2,Running,10039428,10039699,10039564.0
openb-pod-0140,4000,24576,1,1000,0.0,1,Succeeded,10039573,10043761,10039574.0
openb-pod-0141,18708,64512,1,1000,0.0,1,Running,10039634,10039739,10039637.0
openb-pod-0142,8000,30517,1,470,0.0,2,Running,10039873,10040018,10039974.0
openb-pod-0144,8000,30517,1,320,0.0,2,Running,10040570,10059872,10040570.0
openb-pod-0145,8000,30517,1,220,0.0,2,Running,10040740,10059930,10040741.0
openb-pod-0151,8000,30517,1,470,0.0,2,Running,10042650,10043285,10042685.0
openb-pod-0152,18708,64512,1,1000,0.0,1,Running,10043265,10044780,10043298.0
openb-pod-0153,12000,16384,1,1000,0.0,1,Running,10046254,10056753,10046254.0
openb-pod-0154,6000,12288,1,460,0.0,1,Running,10046254,10054053,10046254.0
openb-pod-0158,12000,15360,1,1000,0.0,1,Running,10049677,10050216,10049677.0
openb-pod-0159,4000,31250,1,1000,0.0,1,Running,10050573,10051530,10050573.0
openb-pod-0161,16000,32768,1,1000,0.0,1,Running,10051357,10052739,10051360.0
openb-pod-0163,16000,32768,1,1000,0.0,1,Running,10052438,10053817,10052441.0
openb-pod-0164,18708,64512,1,1000,0.0,1,Running,10052820,10052911,10052822.0
openb-pod-0166,8000,30517,1,470,0.0,2,Running,10053065,10053366,10053307.0
openb-pod-0168,16000,32768,1,1000,0.0,1,Running,10054239,10055257,10054241.0
openb-pod-0170,6000,22888,1,160,0.0,2,Running,10056973,10075375,10056973.0
openb-pod-0173,8000,30517,1,650,0.0,2,Running,10059143,10072223,10059144.0
