name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time
openb-pod-0019,8000,30517,1,470,2,1,Running,9664050,12902960,9664050.0
openb-pod-0027,1000,2048,1,320,0,2,Running,9941376,9972429,9941376.0
openb-pod-0037,16000,32768,1,1000,2,1,Running,9970479,9971583,9970481.0
openb-pod-0058,8000,16384,1,1000,2,1,Running,10000483,10002335,10000483.0
openb-pod-0104,8000,30517,1,320,2,2,Running,10024695,10024740,10024695.0
openb-pod-0129,12000,24576,1,1000,2,1,Running,10035396,10036353,10035396.0
openb-pod-0132,4000,15258,1,220,0,2,Running,10036552,10037685,10036556.0
openb-pod-0147,8000,16384,1,1000,2,1,Running,10041157,10042958,10041159.0
openb-pod-0194,4000,15258,1,220,1,2,Running,10077065,10084784,10077066.0
openb-pod-0201,4000,24576,1,1000,2,1,Succeeded,10082398,10086587,10082398.0
openb-pod-0249,8000,32768,1,1000,2,1,Running,10104920,10145444,10104922.0
openb-pod-0267,9810,41560,1,1000,0,1,Running,10110007,10110189,10110009.0
openb-pod-0297,11908,47104,1,470,2,1,Running,10123048,10123709,10123050.0
openb-pod-0452,18708,64512,1,1000,1,1,Running,10200592,10201384,10200908.0
openb-pod-0458,8000,30517,1,320,1,2,Running,10201724,10202174,10201726.0
openb-pod-0460,6000,18432,1,460,1,1,Running,10202555,10208404,10202555.0
openb-pod-0525,9810,41560,1,1000,0,1,Running,10217925,10218147,10217963.0
openb-pod-0544,11400,48128,1,1000,1,1,Running,10234226,10234757,10234297.0
openb-pod-0584,4000,30517,1,230,1,2,Running,10260412,10260503,10260413.0
openb-pod-0733,6000,8192,1,1000,0,1,Running,10292589,12634855,10292622.0
openb-pod-0756,11400,48128,1,1000,2,1,Running,10297584,10298393,10297587.0
openb-pod-0855,11400,48128,1,1000,1,1,Running,10345975,10349537,10346078.0
openb-pod-0862,18708,64512,1,1000,2,1,Running,10348057,10348249,10348059.0
openb-pod-0925,4000,15258,1,320,0,2,Running,10362627,10366482,10362627.0
openb-pod-0979,11908,47104,1,470,0,1,Running,10374297,10375408,10374299.0
openb-pod-1148,12000,15360,1,1000,0,1,Running,10438117,10450476,10438118.0
openb-pod-1166,9810,41560,1,1000,0,1,Running,10441228,10445014,10441261.0
openb-pod-1357,16000,32768,1,1000,0,1,Succeeded,10527776,10531419,10527776.0
openb-pod-1520,4000,22888,1,320,1,2,Running,10611007,10616635,10611022.0
openb-pod-1523,14000,0,1,1000,0,3,Succeeded,10611842,10615828,10611842.0
openb-pod-1666,11908,47104,1,470,1,1,Running,10638652,10638809,10638755.0
openb-pod-1669,11908,47104,1,470,0,1,Running,10638906,10642199,10638909.0
openb-pod-1712,18708,64512,1,1000,2,1,Running,10644279,10651861,10644282.0
openb-pod-1742,15700,58368,1,1000,2,1,Running,10648890,10651125,10648924.0
openb-pod-1760,12000,16384,1,1000,0,1,Running,10653875,10655914,10653875.0
openb-pod-1771,8000,30517,1,320,0,2,Running,10657877,10660609,10657879.0
openb-pod-1802,15700,58368,1,1000,0,1,Running,10676483,10679898,10676485.0
openb-pod-1849,12000,24576,1,1000,0,1,Succeeded,10693843,10724074,10693843.0
openb-pod-1857,15700,58368,1,1000,2,1,Running,10695393,10697563,10695396.0
openb-pod-1866,8000,30517,1,320,2,2,Running,10696159,10696538,10696160.0
openb-pod-1954,11300,37888,1,1000,2,1,Running,10716310,10717392,10716446.0
openb-pod-1979,8000,30517,1,470,0,2,Running,10719693,10719827,10719694.0
openb-pod-2072,11400,48128,1,1000,2,1,Running,10755248,10775856,10755250.0
openb-pod-2083,6000,12288,1,460,2,1,Running,10764452,10765022,10764453.0
openb-pod-2119,7000,30000,1,1000,0,3,Running,10777323,10916866,10777323.0
openb-pod-2154,11400,48128,1,1000,1,1,Running,10786726,10789945,10786763.0
openb-pod-2179,16000,32768,1,1000,0,1,Succeeded,10792988,10796642,10793023.0
openb-pod-2308,11400,48128,1,1000,2,1,Running,10845326,10857450,10845361.0
openb-pod-2413,4000,24576,1,1000,1,1,Succeeded,10889462,10893439,10889462.0
openb-pod-2467,11400,48128,1,1000,0,1,Running,10914450,10915681,10914452.0
openb-pod-2533,4000,22888,1,320,2,2,Running,10949384,10949731,10949416.0
openb-pod-2566,8000,30517,1,320,2,2,Running,10955991,10956225,10956129.0
openb-pod-2568,4000,22888,1,320,0,2,Running,10956115,10957052,10956115.0
openb-pod-2602,4000,30517,1,320,1,2,Running,10967972,10969342,10967983.0
openb-pod-2616,11400,48128,1,1000,1,1,Running,10973396,10990568,10973429.0
openb-pod-2617,4000,31250,1,1000,2,1,Running,10973649,11006095,10973649.0
openb-pod-2641,4000,30517,1,320,2,2,Running,10981193,10988630,10981937.0
openb-pod-2668,11400,48128,1,1000,2,1,Running,10993760,10994565,10993762.0
openb-pod-2674,15700,58368,1,1000,0,1,Running,10996793,10998647,10996829.0
openb-pod-2724,4000,30517,1,320,1,2,Running,11033891,11034136,11033896.0
openb-pod-2785,11400,48128,1,1000,0,1,Running,11052393,11054301,11052395.0
openb-pod-2806,15700,58368,1,1000,2,1,Running,11062124,11064114,11062128.0
openb-pod-2826,4000,24576,1,1000,1,1,Succeeded,11067977,11072817,11067977.0
openb-pod-2847,11400,48128,1,1000,0,1,Running,11081253,11083282,11081255.0
openb-pod-2911,15700,58368,1,1000,2,1,Running,11129451,11131422,11129453.0
openb-pod-2951,15700,58368,1,1000,0,1,Running,11153047,11153160,11153084.0
openb-pod-2973,4000,22888,1,350,1,2,Running,11168614,11169481,11168993.0
openb-pod-2976,16000,32768,1,1000,0,1,Running,11171979,11175230,11171984.0
openb-pod-3033,18708,64512,1,1000,2,1,Running,11209274,11210488,11209276.0
openb-pod-3060,11400,48128,1,1000,1,1,Running,11218086,11222747,11218122.0
openb-pod-3064,11400,48128,1,1000,1,1,Running,11220260,11224292,11220264.0
openb-pod-3081,11400,48128,1,1000,1,1,Running,11224727,11232255,11224759.0
openb-pod-3101,11400,48128,1,1000,1,1,Running,11228775,11231258,11228778.0
openb-pod-3106,12000,24576,1,1000,2,1,Running,11229453,11229995,11229454.0
openb-pod-3168,11908,47104,1,650,2,1,Running,11243395,11243480,11243432.0
openb-pod-3239,15700,58368,1,1000,2,1,Running,11256015,11263397,11256048.0
openb-pod-3267,8000,30517,1,320,1,2,Running,11265236,11285725,11265236.0
openb-pod-3336,11400,48128,1,1000,2,1,Running,11290907,11291467,11290910.0
openb-pod-3383,11908,47104,1,650,1,1,Running,11301240,11302690,11301243.0
openb-pod-3427,11400,48128,1,1000,1,1,Running,11308789,11309094,11308826.0
openb-pod-3477,8000,32768,1,1000,0,1,Running,11320663,11324878,11321036.0
openb-pod-3478,11908,47104,1,1000,2,2,Running,11321214,11322219,11321217.0
openb-pod-3497,11400,48128,1,1000,2,1,Running,11327857,11332037,11327894.0
openb-pod-3510,11908,47104,1,470,1,1,Running,11332334,11332498,11332405.0
openb-pod-3514,18708,64512,1,1000,2,1,Running,11333598,11334385,11333601.0
openb-pod-3548,11400,48128,1,1000,2,1,Running,11342386,11343254,11342388.0
openb-pod-3565,11400,48128,1,1000,2,1,Running,11346552,11347693,11346554.0
openb-pod-3623,6000,6144,1,460,0,1,Running,11375915,11378495,11375915.0
openb-pod-3699,11400,48128,1,1000,1,1,Running,11398590,11401246,11398592.0
openb-pod-3739,11400,48128,1,1000,2,1,Running,11409971,11413398,11410006.0
openb-pod-3766,18708,64512,1,1000,0,1,Running,11414835,11415776,11414836.0
openb-pod-3838,12000,15360,1,1000,1,1,Running,11434056,11439753,11434056.0
openb-pod-3889,11400,48128,1,1000,0,1,Running,11466580,11466823,11466583.0
openb-pod-3896,7000,30000,1,1000,2,3,Running,11467469,11521363,11467469.0
openb-pod-3912,4000,15258,1,320,0,2,Running,11471750,11477306,11471816.0
openb-pod-3976,11400,48128,1,1000,2,1,Running,11490613,11490692,11490616.0
openb-pod-3982,18708,64512,1,1000,2,1,Running,11492593,11498780,11492596.0
openb-pod-4072,12000,24576,1,1000,2,1,Running,11515475,11519825,11515476.0
openb-pod-4083,12000,18432,1,460,1,1,Running,11520873,11521806,11520873.0
openb-pod-4098,11908,47104,1,470,0,1,Running,11531760,11545358,11531761.0
openb-pod-4106,12000,18432,1,460,0,1,Running,11534377,11536955,11534377.0
openb-pod-4120,8000,16384,1,1000,2,1,Running,11546556,11552015,11546556.0
openb-pod-4141,18708,64512,1,1000,2,1,Running,11555688,11555877,11555793.0
openb-pod-4159,8000,30517,1,470,1,2,Running,11559350,11559744,11559351.0
openb-pod-4208,9810,41560,1,1000,2,1,Running,11576143,11576367,11576281.0
openb-pod-4211,11400,48128,1,1000,0,1,Running,11576952,11581413,11576986.0
openb-pod-4240,11908,47104,1,1000,2,2,Running,11584512,11585693,11584514.0
openb-pod-4243,18708,64512,1,1000,2,1,Running,11585638,11586630,11585641.0
openb-pod-4254,11908,47104,1,650,1,1,Running,11591093,11594851,11591130.0
openb-pod-4265,11400,48128,1,1000,1,1,Running,11593927,11597972,11594031.0
openb-pod-4270,16000,65536,1,1000,2,1,Running,11594915,11609571,11595330.0
openb-pod-4381,11908,47104,1,650,2,1,Running,11663258,11664389,11663259.0
openb-pod-4493,11400,48128,1,1000,1,1,Running,11756569,11757980,11756574.0
openb-pod-4530,12000,15360,1,1000,2,1,Running,11811816,11916396,11820629.0
openb-pod-4544,11400,48128,1,1000,0,1,Running,11814569,11816083,11814605.0
openb-pod-4557,11400,48128,1,1000,2,1,Running,11817493,11817677,11817525.0
openb-pod-4561,11400,48128,1,1000,2,1,Running,11817630,11818031,11817632.0
openb-pod-4620,9400,52224,1,1000,2,1,Running,11831649,11831817,11831682.0
openb-pod-4632,8000,30517,1,470,2,2,Running,11835099,11835381,11835309.0
openb-pod-4739,11300,49152,1,1000,0,1,Running,11857231,11858101,11857233.0
openb-pod-4754,12000,24576,1,1000,1,3,Succeeded,11864495,11864544,11864496.0
openb-pod-4826,11300,49152,1,1000,1,1,Running,11907199,11909557,11907269.0
openb-pod-4844,14200,58368,1,1000,0,1,Running,11910750,11910861,11910751.0
openb-pod-4882,11300,49152,1,1000,2,1,Running,11921106,11921293,11921245.0
openb-pod-4919,11300,49152,1,1000,1,1,Running,11930571,11931155,11930607.0
openb-pod-4922,11300,49152,1,1000,0,1,Running,11931412,11931860,11931447.0
openb-pod-4940,18708,64512,1,1000,1,1,Running,11935673,11935790,11935707.0
openb-pod-4955,11908,47104,1,650,1,1,Running,11938838,11939786,11938874.0
openb-pod-4960,11300,49152,1,1000,0,1,Running,11942699,11943395,11942701.0
openb-pod-4967,11300,49152,1,1000,1,1,Running,11949334,11949842,11949336.0
openb-pod-4993,16000,65536,1,1000,2,1,Running,11971714,11973156,11971716.0
openb-pod-5026,4000,24576,1,1000,2,1,Succeeded,11987584,11987722,11987584.0
openb-pod-5163,16000,32768,1,1000,1,1,Succeeded,12021178,12024789,12021178.0
openb-pod-5174,12000,15360,1,1000,1,1,Running,12023920,12086256,12024093.0
openb-pod-5185,11300,49152,1,1000,1,1,Running,12024851,12025051,12024852.0
openb-pod-5203,11300,49152,1,1000,2,1,Running,12030556,12030838,12030558.0
openb-pod-5217,14200,58368,1,1000,0,1,Running,12041540,12041593,12041546.0
openb-pod-5233,14200,58368,1,1000,1,1,Running,12057547,12057605,12057549.0
openb-pod-5237,14200,58368,1,1000,2,1,Running,12060668,12060734,12060670.0
openb-pod-5272,11300,49152,1,1000,2,1,Running,12074114,12074555,12074120.0
openb-pod-5277,14200,58368,1,1000,1,1,Running,12076457,12078115,12076492.0
openb-pod-5316,11300,49152,1,1000,2,1,Running,12086971,12089265,12087004.0
openb-pod-5324,11300,49152,1,1000,2,1,Running,12090217,12090293,12090219.0
openb-pod-5351,11300,49152,1,1000,0,1,Running,12095754,12096251,12095757.0
openb-pod-5371,11300,49152,1,1000,2,1,Running,12098422,12100034,12098424.0
openb-pod-5406,4000,15258,1,160,0,2,Running,12103548,12103727,12103581.0
openb-pod-5435,11300,49152,1,1000,2,1,Running,12107198,12109143,12107233.0
openb-pod-5449,3152,5600,1,810,0,2,Running,12109666,12148518,12109666.0
openb-pod-5486,11300,49152,1,1000,1,1,Running,12121649,12121738,12121681.0
openb-pod-5488,4000,24576,1,1000,0,1,Succeeded,12122381,12122791,12122381.0
openb-pod-5521,4000,15258,1,160,2,2,Running,12142332,12144368,12142332.0
openb-pod-5555,11300,49152,1,1000,1,1,Running,12154814,12155539,12154917.0
openb-pod-5562,8000,30517,1,470,2,2,Running,12155998,12158468,12157355.0
openb-pod-5601,16000,65536,1,1000,2,1,Running,12168099,12169962,12168137.0
openb-pod-5647,15400,90112,1,1000,1,1,Running,12177374,12177616,12177375.0
openb-pod-5656,9810,41560,1,1000,0,1,Running,12178371,12180220,12178375.0
openb-pod-5675,18708,64512,1,1000,1,1,Running,12185390,12185916,12185393.0
openb-pod-5684,18708,64512,1,1000,2,1,Running,12187021,12187493,12187054.0
openb-pod-5706,4000,31250,1,1000,2,1,Running,12194827,12196684,12194827.0
openb-pod-5712,9810,41560,1,1000,0,1,Running,12195640,12199417,12195678.0
openb-pod-5775,4000,22888,1,230,0,2,Running,12223225,12226889,12223226.0
openb-pod-5822,14200,58368,1,1000,0,1,Running,12249856,12252735,12249857.0
